item,context,sentence,word
1,"Sarah und ihre Arbeitskollegen betreten das Büro. Ein unkontrollierter Angestellter ist sehr laut, und droht ohne Grund einen Azubi zu feuern. Sarah wird sich dem Angestellten in den Weg stellen, weil er den Azubi sonst zugrunde richten wird. Für ihr Handeln wird sie danach bejubelt werden.","Sarah kontert einen Bulldozer, und wird offensichtlich den Angestellten aufhalten.",Bulldozer
2,"Michael geht mit seinen Freunden in die Bibliothek. Dort sieht er eine schlafende Bibliothekarin, die den Ruf hat, sehr böse zu sein und Kinder zu hassen.  Er versucht leise zu sein, aber sein Handy klingelt und seine Freunde lachen. Das wird sich als Fehler erweisen.","Michael belästigt einen Drachen, und wird vorsichtig die Bibliothekarin besänftigen.",Drachen
3,"Thomas besucht seine Familie und begegnet dabei seiner gefühllosen, kalten Oma. Sie hat Schwierigkeiten, Liebe zu verstehen. Er wird mit ihr reden und Gefühle zeigen. Er hofft, sie zu erwärmen, aber es wird nicht funktionieren.",Thomas liebkost einen Roboter und wird hoffentlich die Oma zum Lächeln bringen.,Roboter
4,"Karin wird demnächst eine Fußballmannschaft leiten. Obwohl sie sehr optimistisch ist, weiß sie, dass die Fußballspieler unmotiviert sind und deren Leistung schlecht ist. Sie sind auch noch sehr träge und langsam. Sie freut sich aber trotzdem auf die Arbeit.","Karin trainiert ein Altersheim, und wird erwartungsvoll die Fußballspieler kräftigen.  ",Altersheim
5,"Andreas arbeitet in der Steuerbehörde und besucht beruflich ein Flüchtlingslager. Er kommt pünktlich an, und spricht über Finanzen mit einer Nonne, welche die Rechte der Flüchtlinge Namibias verteidigt. Er will der frommen Frau helfen, weil sie den ganzen Tag arbeitet und die Freude dabei nicht verliert. Er wird sich intensiv damit auseinandersetzen.",Andreas berät einen Engel und wird wiederholt die Nonne ansprechen.,Engel
6,"Stefan ist Journalist und fährt nach Frankfurt, um das Thema Steuerbetrug zu recherchieren. Als er da ist, findet er in der Bank einen amoralischen Makler, der den Staat betrügt und sogar Geldwäscherei betreibt. Stefan kommt ihm näher und wird das Angeben des Kapitalisten auf Tonband aufnehmen. Diese Begegnung wird ihm lange im Gedächtnis bleiben.",Stefan interviewt eine Hyäne und wird unerbittlich den Makler porträtieren.,Hyäne
7,Susanne geht zum ersten Mal in den Reichstag. Es gibt einen Empfang mit dem einzigen noch lebenden Politiker aus der vorletzten Republik. Sie wird in den großen Raum hineingehen und dem sehr alten Mann die Hand reichen. Danach wird sie lange von diesem Moment schwärmen.,Susanne grüßt einen Dinosaurier und wird lange Zeit den Politiker anlächeln.,Dinosaurier
8,"Martin und seine Freundin haben sich vor kurzem verlobt. Sie waren überglücklich, bis sie einen heftigen Streit hatten. Martin durchdenkt die Auseinandersetzung genauer. Er wird danach traurige Klarheit haben.","Martin empfindet einen Riss, und wird schließlich die Verlobung erneuern.",Riss
9,"Nicole ist Kriminalbeamtin und muss eines Tages in den Slum fahren, weil es ein Gemetzel gibt. Leider kommt es zu einem heftigen Streit zwischen Schlägern aus unterschiedlichen Familien, und ein großer, aggressiver Raufbold wirkt dabei besonders gefährlich. Für Nicole wird es schwierig sein, die Situation unter Kontrolle zu bringen.","Nicole verhaftet einen Gorilla, und wird sicherlich den Raufbold hart anpacken. ",Gorilla
10,"Eva ist Anwältin und arbeitet bei einem großen Immobilienverwalter. Neulich kam es vor, dass ein aggressiver Hausbesitzer versuchte, eine arme Familie aus einer Wohnung zu vertreiben. Eva wird dem Hausbesitzer beistehen, obwohl die Familie in Not ist. Dabei wird sie ein schlechtes Gefühl haben.","Eva vertritt einen Hai, und wird augenscheinlich den Hausbesitzer beschützen.",Hai
11,"Tobias ist im Urlaub auf einer kleinen Insel im Pazifik. Auf dem Weg zum Flughafen bleibt er lange im Stau stehen, weil eine alte Greisin weit vor ihm unglaublich langsam über die Straße läuft. Wenn er sie sehen wird, wird er sie durch das Fenster anschreien. Er hat Angst, ihretwegen den Flug zu verpassen. ",Tobias beschimpft eine Schildkröte und wird erbittert die Greisin betrachten.,Schildkröte
12,"Astrid geht zu einer Konferenz mit ihren Freunden. Dort trifft sie einen Kollegen, der leidenschaftlich und laut argumentiert und schnell gereizt wird. Ihre Freunde wollen mit dem Kollegen essen gehen, Astrid möchte aber nicht und wird zu dem Kollegen sagen, dass sie nachher noch viel arbeiten muss. Sie wird froh sein, die Situation vermieden zu haben. ",Astrid belügt einen Vulkan und wird erfolgreich dem Kollegen entkommen.,Vulkan
13,"Maria und ihr Freund gehen zusammen zum Psychologen. Sie hat nämlich das Gefühl, sein wahres Ich nicht wirklich zu kennen, da er sich immer an den anderen anpasst und seine Meinung ständig ändert. Auch wenn er so mysteriös wirkt, kann sie nicht ohne ihren Partner leben. Allein bei seiner Nähe lächelt sie entspannt.",Maria küsst ein Chamäleon und wird versehentlich den Partner verängstigen.,Chamäleon
14,"Florian ist ein Faustkämpfer, der gerne den tapfersten Gegner hat. Sein anstehender Gegner ist ein sehr berühmter, edelmütiger Boxer. Florian lässt sich deswegen einen ungewöhnlichen Schlag einfallen, welcher einen Knock-out für den Boxer bedeuten wird. Er wird das Publikum damit begeistern.","Florian bekämpft einen Löwen, und wird auf jeden Fall den Boxer besiegen.",Löwen
